,YEAR,STATE,ENERGY SOURCE,MWh,Percent
101,1990,ME,Natural Gas,50786.0,0.31848711533803997
102,1990,ME,Nuclear,4860727.0,30.482395161574548
103,1990,MI,Total,100059737.0,100.0
104,1990,MI,Coal,67066870.0,67.0268301824539
105,1990,MI,Hydroelectric Conventional,1627918.0,1.6269461112015513
106,1990,MI,Natural Gas,7837956.0,7.8332766355362295
107,1990,MI,Nuclear,21610500.0,21.597598242737735
108,1990,MN,Total,43070376.0,100.0
109,1990,MN,Coal,28176280.0,65.4191642069714
110,1990,MN,Hydroelectric Conventional,857046.0,1.9898735037743809
111,1990,MN,Natural Gas,539839.0,1.2533881756685847
112,1990,MN,Nuclear,12139302.0,28.184806187900474
113,1990,MN,Wind,266.0,0.0006175938654447781
114,1990,MO,Total,59352830.0,100.0
115,1990,MO,Coal,48796793.0,82.21477055095772
116,1990,MO,Hydroelectric Conventional,2192115.0,3.6933622204703633
117,1990,MO,Natural Gas,312109.0,0.5258536113610758
118,1990,MO,Nuclear,7998039.0,13.475413051071028
119,1990,MS,Total,25201417.0,100.0
120,1990,MS,Coal,9526527.0,37.80155298410403
121,1990,MS,Natural Gas,5919664.0,23.489409345514183
122,1990,MS,Nuclear,7422131.0,29.451244745483958
123,1990,MT,Total,26029772.0,100.0
124,1990,MT,Coal,15119619.0,58.08586798224741
125,1990,MT,Hydroelectric Conventional,10716817.0,41.1713825230586
126,1990,MT,Natural Gas,55255.0,0.21227615823911175
127,1990,MT,Wind,0.0,0.0
128,1990,NC,Total,84925767.0,100.0
129,1990,NC,Coal,49821595.0,58.66487493719074
130,1990,NC,Hydroelectric Conventional,6819427.0,8.029868014026885
131,1990,NC,Natural Gas,203465.0,0.23957982033886135
132,1990,NC,Nuclear,25905319.0,30.503485473378177
133,1990,ND,Total,26993261.0,100.0
134,1990,ND,Coal,25189003.0,93.31589465978195
135,1990,ND,Hydroelectric Conventional,1711148.0,6.339167394410035
136,1990,ND,Natural Gas,51563.0,0.19102175168831953
137,1990,NE,Total,21633587.0,100.0
138,1990,NE,Coal,12661150.0,58.52543084972454
139,1990,NE,Hydroelectric Conventional,1140093.0,5.270013706002615
140,1990,NE,Natural Gas,308065.0,1.4240125782192292
141,1990,NE,Nuclear,7511298.0,34.720538947147325
142,1990,NH,Total,12405196.0,100.0
143,1990,NH,Coal,2959203.0,23.854544498934157
144,1990,NH,Hydroelectric Conventional,1881087.0,15.163702371167695
145,1990,NH,Natural Gas,0.0,0.0
146,1990,NH,Nuclear,4080691.0,32.89501431496931
147,1990,NJ,Total,39968834.0,100.0
148,1990,NJ,Coal,7057820.0,17.658308471045213
149,1990,NJ,Hydroelectric Conventional,31351.0,0.0784386154472257
150,1990,NJ,Natural Gas,6914325.0,17.299291242771805
151,1990,NJ,Nuclear,23770387.0,59.47230534671088
152,1990,NM,Total,28820204.0,100.0
153,1990,NM,Coal,25826928.0,89.61396664645399
154,1990,NM,Hydroelectric Conventional,205435.0,0.7128159120594705
155,1990,NM,Natural Gas,2738087.0,9.500581605876212
156,1990,NV,Total,20050685.0,100.0
157,1990,NV,Coal,15053277.0,75.0761233344397
158,1990,NV,Hydroelectric Conventional,1735081.0,8.653474931155719
159,1990,NV,Natural Gas,2217027.0,11.057113510087062
160,1990,NY,Total,135345692.0,100.0
161,1990,NY,Coal,25913047.0,19.14582327452284
162,1990,NY,Hydroelectric Conventional,28188222.0,20.826833557436018
163,1990,NY,Natural Gas,22724335.0,16.78984728970908
164,1990,NY,Nuclear,23623356.0,17.454087862656166
165,1990,OH,Total,127980527.0,100.0
166,1990,OH,Coal,115832650.0,90.50802705320943
167,1990,OH,Hydroelectric Conventional,181395.0,0.14173640650815572
168,1990,OH,Natural Gas,241585.0,0.1887669989044505
169,1990,OH,Nuclear,10663897.0,8.332437168351401
170,1990,OK,Total,47079131.0,100.0
171,1990,OK,Coal,25655347.0,54.49409633325645
172,1990,OK,Hydroelectric Conventional,2730594.0,5.800009350215066
173,1990,OK,Natural Gas,18236766.0,38.73641168100575
174,1990,OR,Total,50372236.0,100.0
175,1990,OR,Coal,1317344.0,2.6152184310420523
176,1990,OR,Hydroelectric Conventional,41240367.0,81.87122564898648
177,1990,OR,Natural Gas,819328.0,1.626546814399901
178,1990,OR,Nuclear,6073796.0,12.057824870033564
179,1990,OR,Wind,539.0,0.0010700338972445059
180,1990,PA,Total,175623311.0,100.0
181,1990,PA,Coal,106677155.0,60.74202473041862
182,1990,PA,Hydroelectric Conventional,2869192.0,1.6337193415058664
183,1990,PA,Natural Gas,2833882.0,1.6136138100710333
184,1990,PA,Nuclear,57787051.0,32.903975372608706
185,1990,RI,Total,1107316.0,100.0
186,1990,RI,Coal,0.0,0.0
187,1990,RI,Hydroelectric Conventional,9946.0,0.8982079189680272
188,1990,RI,Natural Gas,876943.0,79.19536970476358
189,1990,SC,Total,71363174.0,100.0
190,1990,SC,Coal,23411867.0,32.80665038805589
191,1990,SC,Hydroelectric Conventional,3298066.0,4.621523700725532
192,1990,SC,Natural Gas,787535.0,1.1035593792394942
193,1990,SC,Nuclear,42880669.0,60.08795096473708
194,1990,SD,Total,6427473.0,100.0
195,1990,SD,Coal,2472514.0,38.467901771038164
196,1990,SD,Hydroelectric Conventional,3934402.0,61.212268025085436
197,1990,SD,Natural Gas,12408.0,0.19304631851429013
198,1990,TN,Total,76187609.0,100.0
199,1990,TN,Coal,51825606.0,68.02366773316118
200,1990,TN,Hydroelectric Conventional,10015363.0,13.145658633282482
201,1990,TN,Natural Gas,224146.0,0.2942026963990956
202,1990,TN,Nuclear,14002591.0,18.379092327205072
203,1990,TX,Total,281559635.0,100.0
204,1990,TX,Coal,120921396.0,42.94699273921136
205,1990,TX,Hydroelectric Conventional,1793625.0,0.6370320092224867
206,1990,TX,Natural Gas,136234325.0,48.385602218869195
207,1990,TX,Nuclear,15859258.0,5.6326461710322935
208,1990,TX,Solar Thermal and Photovoltaic,385.0,0.0001367383502965544
209,1990,US-TOTAL,Total,3037827337.0,100.0
210,1990,US-TOTAL,Coal,1594011479.0,52.472089495848785
211,1990,US-TOTAL,Hydroelectric Conventional,292865846.0,9.640635016775478
212,1990,US-TOTAL,Natural Gas,372765154.0,12.27078147134338
213,1990,US-TOTAL,Nuclear,576861678.0,18.989284577631015
214,1990,US-TOTAL,Solar Thermal and Photovoltaic,367087.0,0.01208386650317381
215,1990,US-TOTAL,Wind,2788600.0,0.09179586891050484
216,1990,UT,Total,32563539.0,100.0
217,1990,UT,Coal,31522926.0,96.80436146697691
218,1990,UT,Hydroelectric Conventional,508443.0,1.5613874155385874
219,1990,UT,Natural Gas,146488.0,0.4498528246576639
220,1990,VA,Total,52564458.0,100.0
221,1990,VA,Coal,23899902.0,45.46779879286495
222,1990,VA,Hydroelectric Conventional,1309499.0,2.491225154457029
223,1990,VA,Natural Gas,1134809.0,2.158890328518179
224,1990,VA,Nuclear,23820152.0,45.316080306582826
225,1990,VA,Solar Thermal and Photovoltaic,34.0,6.468248944942988e-05
226,1990,VT,Total,5164108.0,100.0
227,1990,VT,Hydroelectric Conventional,1365031.0,26.4330451648184
228,1990,VT,Natural Gas,65281.0,1.2641292552363352
229,1990,VT,Nuclear,3616268.0,70.02696303020774
230,1990,VT,Wind,0.0,0.0
231,1990,WA,Total,102071533.0,100.0
232,1990,WA,Coal,7390279.0,7.240293922106568
233,1990,WA,Hydroelectric Conventional,87466708.0,85.69157866963751
234,1990,WA,Natural Gas,288058.0,0.2822118876180688
235,1990,WA,Nuclear,5742027.0,5.625493054953921
236,1990,WI,Total,47768857.0,100.0
237,1990,WI,Coal,33168941.0,69.43632961533913
238,1990,WI,Hydroelectric Conventional,2014412.0,4.216998535259071
239,1990,WI,Natural Gas,347204.0,0.7268417580098264
240,1990,WI,Nuclear,11225913.0,23.500484845178523
241,1990,WI,Wind,44.0,9.211022151943054e-05
242,1990,WV,Total,79539544.0,100.0
243,1990,WV,Coal,77643366.0,97.61605623487105
244,1990,WV,Hydroelectric Conventional,1295051.0,1.6281850949510095
245,1990,WV,Natural Gas,90063.0,0.11323047061974607
246,1990,WY,Total,39974965.0,100.0
247,1990,WY,Coal,38908467.0,97.33208521883634
248,1990,WY,Hydroelectric Conventional,644613.0,1.6125417495675105
249,1990,WY,Natural Gas,268202.0,0.6709249151312577
250,1991,AK,Total,5389828.0,100.0
251,1991,AK,Coal,520514.0,9.657339714736722
252,1991,AK,Hydroelectric Conventional,896113.0,16.62600364983818
253,1991,AK,Natural Gas,3319395.0,61.586288096763006
254,1991,AK,Wind,0.0,0.0
255,1991,AL,Total,88786612.0,100.0
256,1991,AL,Coal,58222842.0,65.57615015200714
257,1991,AL,Hydroelectric Conventional,10757723.0,12.116379663186157
258,1991,AL,Natural Gas,1222500.0,1.3768967780863177
259,1991,AL,Nuclear,15874637.0,17.879539090871045
260,1991,AR,Total,40651244.0,100.0
261,1991,AR,Coal,19644712.0,48.32499590910429
262,1991,AR,Hydroelectric Conventional,3546966.0,8.725356596713251
263,1991,AR,Natural Gas,3324886.0,8.179051051918607
264,1991,AR,Nuclear,12661793.0,31.14736906944348
265,1991,AZ,Total,67202551.0,100.0
266,1991,AZ,Coal,32557748.0,48.447190643105195
267,1991,AZ,Hydroelectric Conventional,6735540.0,10.022744523492866
268,1991,AZ,Natural Gas,2226388.0,3.3129516169706115
269,1991,AZ,Nuclear,25095776.0,37.3434871542302
270,1991,CA,Total,158947642.0,100.0
271,1991,CA,Coal,2632419.0,1.6561547984461449
272,1991,CA,Hydroelectric Conventional,21957064.0,13.81402311083042
273,1991,CA,Natural Gas,74006160.0,46.56008674856592
274,1991,CA,Nuclear,31541799.0,19.844144023224956
275,1991,CA,Solar Thermal and Photovoltaic,471361.0,0.29655111209513885
276,1991,CA,Wind,2914505.0,1.8336258174877484
277,1991,CO,Total,32321593.0,100.0
278,1991,CO,Coal,29134010.0,90.1379149226958
279,1991,CO,Hydroelectric Conventional,1794290.0,5.551366233712553
280,1991,CO,Natural Gas,1314681.0,4.067500633400092
281,1991,CT,Total,27036467.0,100.0
282,1991,CT,Coal,3633427.0,13.438985944428318
283,1991,CT,Hydroelectric Conventional,433338.0,1.6027907788395575
284,1991,CT,Natural Gas,1571856.0,5.813836548984008
285,1991,CT,Nuclear,12242911.0,45.28295431499981
286,1991,DC,Total,179814.0,100.0
